Model,Threshold,Hyperparameters,Default Parameters,Accuracy,Precision,Recall,F1 Score,AUC ROC Score,p_at_0.01,p_at_0.02,p_at_0.05,p_at_0.1,p_at_0.2,p_at_0.3,p_at_0.4,p_at_0.5,p_at_0.6,p_at_0.7,p_at_0.8
KNN,0.4,"{'n_neighbors': 70, 'weights': 'uniform', 'metric': 'manhattan'}",{'n_jobs': -1},0.8671737858396723,0.6669847328244275,0.40829439252336447,0.5065217391304347,0.683718725177627,1.0,0.5,0.4,0.5,0.5,0.5333333333333333,0.6585365853658537,0.6274509803921569,0.6721311475409836,0.704225352112676,0.6585365853658537
KNN,0.8,"{'n_neighbors': 70, 'weights': 'uniform', 'metric': 'euclidean'}",{'n_jobs': -1},0.8328457187439048,0.4,0.002336448598130841,0.004645760743321719,0.5008170184924627,0.0,0.5,0.2,0.4,0.5,0.5333333333333333,0.6341463414634146,0.6078431372549019,0.639344262295082,0.6619718309859155,0.573170731707317
KNN,0.01,"{'n_neighbors': 90, 'weights': 'uniform', 'metric': 'manhattan'}",{'n_jobs': -1},0.26692022625316947,0.18481919861005539,0.9941588785046729,0.3116930684003297,0.5576624408912968,1.0,1.0,0.8,0.5,0.6,0.5666666666666667,0.5609756097560976,0.6470588235294118,0.6229508196721312,0.676056338028169,0.6463414634146342
KNN,0.2,"{'n_neighbors': 70, 'weights': 'uniform', 'metric': 'manhattan'}",{'n_jobs': -1},0.8496196606202457,0.547486033519553,0.572429906542056,0.5596801827527126,0.7388021693796677,1.0,0.5,0.4,0.5,0.5,0.5333333333333333,0.6585365853658537,0.6274509803921569,0.6721311475409836,0.704225352112676,0.6585365853658537
KNN,0.2,"{'n_neighbors': 50, 'weights': 'uniform', 'metric': 'euclidean'}",{'n_jobs': -1},0.8437682855471036,0.5294432548179872,0.5776869158878505,0.5525139664804469,0.7373918072766342,0.0,0.5,0.6,0.4,0.5,0.6,0.6097560975609756,0.6862745098039216,0.6557377049180327,0.5633802816901409,0.6097560975609756
Logistic Regression,0.5,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear'}",{'random_state': 123},0.8675638775112151,0.6867088607594937,0.3802570093457944,0.48947368421052634,0.6727438172460651,0.0,0.5,0.8,0.7,0.7,0.8,0.7073170731707317,0.7254901960784313,0.7377049180327869,0.7605633802816901,0.7682926829268293
Logistic Regression,0.8,"{'penalty': 'l2', 'C': 0.01, 'solver': 'newton-cg'}",{'random_state': 123},0.8348937000195046,0.7435897435897436,0.016939252336448597,0.03312392918332382,0.5078842831572199,0.0,0.5,0.8,0.7,0.7,0.8,0.7317073170731707,0.7254901960784313,0.7377049180327869,0.7605633802816901,0.7682926829268293
Logistic Regression,0.01,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear'}",{'random_state': 123},0.1669592354203238,0.1669592354203238,1.0,0.2861440748788234,0.5,1.0,1.0,1.0,1.0,0.85,0.6333333333333333,0.7317073170731707,0.7843137254901961,0.7704918032786885,0.6619718309859155,0.573170731707317
Logistic Regression,0.2,"{'penalty': 'l2', 'C': 0.1, 'solver': 'newton-cg'}",{'random_state': 123},0.8467914960015603,0.5367762128325508,0.6010514018691588,0.5670983742077708,0.7485472415573844,0.0,0.5,0.8,0.7,0.7,0.8,0.7560975609756098,0.7254901960784313,0.7540983606557377,0.7605633802816901,0.7682926829268293
Logistic Regression,0.2,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",{'random_state': 123},0.8230934269553345,0.4790296052631579,0.6804906542056075,0.5622586872586873,0.7660823676085401,0.0,0.5,0.6,0.6,0.8,0.7333333333333333,0.6829268292682927,0.6862745098039216,0.6885245901639344,0.7183098591549296,0.7195121951219512
Decision Tree,0.5,"{'criterion': 'entropy', 'min_samples_split': 0.03, 'max_depth': 7, 'max_features': 14}",{'random_state': 123},0.8709771796372148,0.6731967943009796,0.441588785046729,0.5333333333333333,0.6993123040195013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9154929577464789,0.7926829268292683
Decision Tree,0.5,"{'criterion': 'entropy', 'min_samples_split': 0.02, 'max_depth': 5, 'max_features': 8}",{'random_state': 123},0.8667836941681295,0.71571072319202,0.3352803738317757,0.4566428003182181,0.6542943662649865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8360655737704918,0.7183098591549296,0.6707317073170732
Decision Tree,0.01,"{'criterion': 'entropy', 'min_samples_split': 0.02, 'max_depth': 4, 'max_features': 4}",{'random_state': 123},0.2330797737468305,0.17878028404344193,1.0,0.3033309709425939,0.5396862561461016,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,0.9803921568627451,0.9344262295081968,0.9436619718309859,0.9512195121951219
Decision Tree,0.2,"{'criterion': 'gini', 'min_samples_split': 0.02, 'max_depth': 4, 'max_features': 10}",{'random_state': 123},0.8542032377608738,0.5579284570208222,0.6103971962616822,0.5829846582984658,0.7567321968196727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.9577464788732394,0.9512195121951219
Decision Tree,0.2,"{'criterion': 'entropy', 'min_samples_split': 0.03, 'max_depth': 7, 'max_features': 12}",{'random_state': 123},0.8036863662960796,0.44754269780411293,0.75,0.5605762933857236,0.7822231327557949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9154929577464789,0.7926829268292683
Linear SVM,0.8,"{'penalty': 'l2', 'C': 0.001}","{'random_state': 123, 'max_iter': 200}",0.860054612834016,0.5919044459190445,0.5210280373831776,0.5542093817955888,0.7245154235148151,0.0,0.5,0.8,0.7,0.7,0.7,0.7317073170731707,0.7058823529411765,0.7213114754098361,0.7323943661971831,0.7439024390243902
Linear SVM,0.8,"{'penalty': 'l2', 'C': 0.001}","{'random_state': 123, 'max_iter': 200}",0.860054612834016,0.5919044459190445,0.5210280373831776,0.5542093817955888,0.7245154235148151,0.0,0.5,0.8,0.7,0.7,0.7,0.7317073170731707,0.7058823529411765,0.7213114754098361,0.7323943661971831,0.7439024390243902
Linear SVM,0.01,"{'penalty': 'l2', 'C': 0.01}","{'random_state': 123, 'max_iter': 200}",0.1670567583382095,0.16697551936018726,1.0,0.28616798997074805,0.5000585343011004,0.0,0.5,0.8,0.7,0.7,0.7333333333333333,0.7317073170731707,0.7058823529411765,0.7377049180327869,0.7323943661971831,0.7439024390243902
Linear SVM,0.8,"{'penalty': 'l2', 'C': 1}","{'random_state': 123, 'max_iter': 200}",0.4122293739028672,0.21585671012774924,0.9573598130841121,0.3522837184309511,0.6301666777900073,0.0,0.5,0.6,0.7,0.7,0.7333333333333333,0.7560975609756098,0.7254901960784313,0.7540983606557377,0.7464788732394366,0.7560975609756098
Linear SVM,0.7,"{'penalty': 'l2', 'C': 0.1}","{'random_state': 123, 'max_iter': 200}",0.2324946362395163,0.17866833646420371,1.0,0.3031698246856738,0.5393350503394989,0.0,0.5,0.8,0.6,0.7,0.7666666666666667,0.7073170731707317,0.7254901960784313,0.7377049180327869,0.7605633802816901,0.7439024390243902
Bagging,0.5,"{'max_samples': 0.05, 'max_features': 14}","{'n_estimators': 50, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8696118587868149,0.6880641925777332,0.4007009345794392,0.5064599483204134,0.6821462996474813,0.0,0.5,0.8,0.7,0.7,0.7666666666666667,0.8048780487804879,0.7450980392156863,0.7868852459016393,0.7605633802816901,0.7926829268292683
Bagging,0.8,"{'max_samples': 0.05, 'max_features': 12}","{'n_estimators': 50, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8358689291983616,0.8222222222222222,0.02161214953271028,0.0421172453044963,0.5103378003575515,1.0,1.0,1.0,0.9,0.8,0.7333333333333333,0.8048780487804879,0.7843137254901961,0.819672131147541,0.8169014084507042,0.7682926829268293
Bagging,0.01,"{'max_samples': 0.05, 'max_features': 4}","{'n_estimators': 50, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.1679344645991808,0.1671222178836392,1.0,0.28638340582134497,0.5005853430110044,1.0,1.0,0.8,0.8,0.7,0.7333333333333333,0.7317073170731707,0.7254901960784313,0.7377049180327869,0.7323943661971831,0.7439024390243902
Bagging,0.3,"{'max_samples': 0.05, 'max_features': 12}","{'n_estimators': 50, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8537156231714453,0.5563829787234043,0.610981308411215,0.5824053452115813,0.7566730470878364,1.0,1.0,1.0,0.9,0.8,0.7333333333333333,0.8048780487804879,0.7843137254901961,0.819672131147541,0.8169014084507042,0.7682926829268293
Bagging,0.2,"{'max_samples': 0.1, 'max_features': 10}","{'n_estimators': 50, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8014433391847084,0.44425326909841706,0.7540887850467289,0.5591165006496318,0.7825114962461459,1.0,1.0,1.0,0.8,0.9,0.9,0.926829268292683,0.8823529411764706,0.8360655737704918,0.7605633802816901,0.7804878048780488
Boosting,0.5,"{'algorithm': 'SAMME.R', 'learning_rate': 0.5}","{'n_estimators': 100, 'random_state': 123}",0.8717573629803004,0.6971201588877854,0.4100467289719626,0.5163663111438028,0.6871704026503457,1.0,1.0,1.0,1.0,1.0,0.9,0.8292682926829268,0.8235294117647058,0.819672131147541,0.8309859154929577,0.8292682926829268
Boosting,0.5,"{'algorithm': 'SAMME', 'learning_rate': 0.1}","{'n_estimators': 100, 'random_state': 123}",0.8688316754437293,0.7041156840934372,0.3697429906542056,0.48487169666794333,0.6693013712343844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boosting,0.01,"{'algorithm': 'SAMME', 'learning_rate': 0.001}","{'n_estimators': 100, 'random_state': 123}",0.1669592354203238,0.1669592354203238,1.0,0.2861440748788234,0.5,1.0,0.5,0.2,0.1,0.05,0.03333333333333333,0.024390243902439025,0.0196078431372549,0.01639344262295082,0.014084507042253521,0.012195121951219513
Boosting,0.5,"{'algorithm': 'SAMME', 'learning_rate': 0.001}","{'n_estimators': 100, 'random_state': 123}",0.8632728691242442,0.623015873015873,0.45852803738317754,0.528263795423957,0.7014602256688774,1.0,0.5,0.2,0.1,0.05,0.03333333333333333,0.024390243902439025,0.0196078431372549,0.01639344262295082,0.014084507042253521,0.012195121951219513
Boosting,0.5,"{'algorithm': 'SAMME', 'learning_rate': 0.001}","{'n_estimators': 100, 'random_state': 123}",0.8632728691242442,0.623015873015873,0.45852803738317754,0.528263795423957,0.7014602256688774,1.0,0.5,0.2,0.1,0.05,0.03333333333333333,0.024390243902439025,0.0196078431372549,0.01639344262295082,0.014084507042253521,0.012195121951219513
Random Forest,0.5,"{'min_samples_split': 0.01, 'max_depth': 9, 'max_features': 12}","{'n_estimators': 300, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8712697483908719,0.694831013916501,0.40829439252336447,0.5143487858719648,0.6861771658238457,1.0,1.0,1.0,0.9,0.95,0.9,0.8780487804878049,0.9019607843137255,0.8852459016393442,0.8732394366197183,0.8658536585365854
Random Forest,0.8,"{'min_samples_split': 0.01, 'max_depth': 8, 'max_features': 6}","{'n_estimators': 300, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8353813146089331,0.875,0.016355140186915886,0.03211009174311926,0.5079434328890562,1.0,1.0,1.0,0.9,0.85,0.8666666666666667,0.8536585365853658,0.8431372549019608,0.8688524590163934,0.8591549295774648,0.8414634146341463
Random Forest,0.01,"{'min_samples_split': 0.01, 'max_depth': 4, 'max_features': 4}","{'n_estimators': 300, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.1669592354203238,0.1669592354203238,1.0,0.2861440748788234,0.5,0.0,0.5,0.6,0.7,0.75,0.8,0.8048780487804879,0.7843137254901961,0.819672131147541,0.8028169014084507,0.8170731707317073
Random Forest,0.3,"{'min_samples_split': 0.01, 'max_depth': 8, 'max_features': 6}","{'n_estimators': 300, 'random_state': 123, 'oob_score': True, 'n_jobs': -1}",0.8619075482738443,0.5830527497194163,0.606892523364486,0.594733829421866,0.7599552759646124,1.0,1.0,1.0,0.9,0.85,0.8666666666666667,0.8536585365853658,0.8431372549019608,0.8688524590163934,0.8591549295774648,0.8414634146341463
